Getränke,3.5,3176655
Kaffe+Tee+Punsch,3.5,3176655
Most,5,3176655
Bier,5,3176655
Gipfeli,1.5,16713207
Kuchen,2,16713207
Nussgipfel,3,16713207
Glace,2.5,16713207
Sandwich,5.0,16495123
Schnitzelbrot,9,16711680
Suppe,8,16711680
Salat,8,16711680
Hot-Dog,5,16495123
Tost,5,16495123
Pommes,5.5,16711680
Spaghetti,9.0,16711680
Chicken Nuggets 4Stk,5.5,1949509
Chicken Nuggets 6Stk,8.5,1949509
Chicken Nuggets 8Stk,11,1949509
Hundespielzeug,0,664128
